"iWine","Barcode","Location","Bin","Size","Currency","ExchangeRate","Valuation","Price","NativePrice","NativePriceCurrency","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","TWF","DR","FP","JM","PG","WAL","JS","CT","CNotes","MY","PNotes","BeginConsume","EndConsume","PurchasedCommunity","QuantityCommunity","PendingCommunity","ConsumedCommunity"
"4837378","0194601722","Cellar","","750ml","NOK","1","360","360","360","NOK","Vinmonopolet","08.07.2024","","2022","La Chablisienne Chablis 1er Cru Montmains","France, Burgundy, Chablis, Chablis 1er Cru","France","Burgundy","Chablis","Chablis 1er Cru","La Chablisienne","Chablisienne, La ","White","White","Dry","Chardonnay","Chardonnay","Unknown","Montmains","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","44","39","0","5"
"4576356","0195382445","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","04.09.2024","","2021","Cyprien Arlaud Bourgogne Oka","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Cyprien Arlaud","Cyprien Arlaud","Red","Red","Dry","Pinot Noir","Pinot Noir","Oka","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","882","763","25","94"
"4576356","0195382444","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","04.09.2024","","2021","Cyprien Arlaud Bourgogne Oka","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Cyprien Arlaud","Cyprien Arlaud","Red","Red","Dry","Pinot Noir","Pinot Noir","Oka","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","882","763","25","94"
"4576356","0195382443","Cellar","","750ml","NOK","1","380","380","380","NOK","Vinmonopolet","04.09.2024","","2021","Cyprien Arlaud Bourgogne Oka","France, Burgundy, Bourgogne","France","Burgundy","Unknown","Bourgogne","Cyprien Arlaud","Cyprien Arlaud","Red","Red","Dry","Pinot Noir","Pinot Noir","Oka","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","882","763","25","94"
"4495055","0186371041","Cellar","","750ml","NOK","1","2500","2500","2500","NOK","Vinmonopolet","01.08.2023","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4495055","0193868518","Cellar","","750ml","NOK","1","2000","2000","2000","NOK","Color Line Tax Free","17.07.2024","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4495055","0193868519","Cellar","","750ml","NOK","1","2000","2000","2000","NOK","Color Line Tax Free","17.07.2024","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4495055","0193868520","Cellar","","750ml","NOK","1","2000","2000","2000","NOK","Color Line Tax Free","17.07.2024","","2013","Dom Pérignon Champagne","France, Champagne","France","Champagne","Unknown","Champagne","Dom Pérignon","Dom Pérignon","White - Sparkling","White","Sparkling","Champagne Blend","Champagne Blend","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189","","","","","11220","8771","702","1747"
"4863532","0194597654","Cellar","","750ml","NOK","1","400","400","400","NOK","Vinmonopolet","09.08.2024","","2022","Faiveley Mercurey Vieilles Vignes","France, Burgundy, Côte Chalonnaise, Mercurey","France","Burgundy","Côte Chalonnaise","Mercurey","Faiveley","Faiveley","Red","Red","Dry","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","819","695","0","124"
"4863532","0194597655","Cellar","","750ml","NOK","1","400","400","400","NOK","Vinmonopolet","09.08.2024","","2022","Faiveley Mercurey Vieilles Vignes","France, Burgundy, Côte Chalonnaise, Mercurey","France","Burgundy","Côte Chalonnaise","Mercurey","Faiveley","Faiveley","Red","Red","Dry","Pinot Noir","Pinot Noir","Vieilles Vignes","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","819","695","0","124"
